"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"0106-5815";"1604-9411";"343676";"Classica et Mediaevalia";"Classica et Mediaevalia"
"0966-8519";"2053-2644";"343678";"Journal of Heart Valve Disease";"Journal of Heart Valve Disease"
"0928-124X";;"343679";"Feed Mix";"Feed Mix"
"0028-3835";"1423-0194";"343682";"Neuroendocrinology";"Neuroendocrinology"
"0084-5914";;"343683";"Acta Phytogeographica Suecica";"Acta Phytogeographica Suecica"
"0013-9165";"1552-390X";"343684";"Environment and Behavior";"Environment and Behavior"
"0047-8601";;"343686";"Næring i Nord";"Næring i Nord"
"0022-3018";"1539-736X";"343687";"Journal of Nervous and Mental Disease";"Journal of Nervous and Mental Disease"
"0020-8566";"1573-0638";"343688";"International Review of Education";"International Review of Education"
"0035-9203";"1878-3503";"343689";"Transactions of the Royal Society of Tropical Medicine and Hygiene";"Transactions of the Royal Society of Tropical Medicine and Hygiene"
"1049-5398";"1532-2378";"343690";"Animal Biotechnology";"Animal Biotechnology"
"0023-186X";"1504-3002";"343691";"Kirke og kultur";"Kirke og kultur"
"0332-8295";"0809-6333";"343692";"Allergologen";"The Allergist"
"0969-2126";"1878-4186";"343696";"Structure";"Structure"
"0014-8733";;"343699";"Fast Grunn";"Fast Grunn"
"0802-4081";;"343701";"Nye pedagoger";"Nye pedagoger"
"0018-1560";"1573-174X";"343702";"Higher Education";"Higher Education"
"1102-4143";;"343703";"Intra";"Intra"
"1146-609X";"1873-6238";"343704";"Acta Oecologica";"Acta Oecologica"
"0033-2933";"2163-3452";"343705";"The Psychological Record";"The Psychological Record"
"0035-8533";"1474-029X";"343706";"The Round Table";"The Round Table"
"0014-4819";"1432-1106";"343707";"Experimental Brain Research";"Experimental Brain Research"
"0802-1848";"1893-1219";"343708";"Regionale Trender";"Regionale Trender"
"0105-4112";;"378522";"Arbejdspapirer";"Arbejdspapirer"
"0808-1476";;"378602";"Byggforsknotat";"Byggforsknotat"
"0967-8875";;"378632";"CSERGE Working Paper";"CSERGE Working Paper"
"0804-5828";;"378773";"FIL Working papers";"FIL Working papers"
"0803-2742";;"378803";"Forskning om skatteøkonomi";"Forskning om skatteøkonomi"
"0807-2647";;"378830";"Forskningsrapport";"Forskningsrapport"
"0807-1047";;"378911";"HiO-notat";"HiO-notat"
"0807-1039";;"378912";"HiO-rapport";"HiO-rapport"
"0804-0672";;"378922";"Human Rights Reports";"Human Rights Reports"
"0333-2039";;"378944";"IFE/KR";"IFE/KR"
"0803-1061";;"378958";"IFS-Ifo";"IFS-Ifo"
"0807-2825";;"378966";"IMER Norway/Bergen publications";"IMER Norway/Bergen publications"
"1100-9896";;"379028";"Journalistik, medier, kommunikation";"Journalistik, medier, kommunikation"
"0809-0890";;"379070";"Kunnskap om idrett";"Kunnskap om idrett"
"0801-9045";;"379111";"LOS-rapport";"LOS-rapport"
"0802-3646";;"379112";"LOS-senter notat";"LOS-senter notat"
"0800-6369";;"379156";"Meteorological report series";"Meteorological report series"
"0800-3416";;"379212";"NGU-rapport";"NGU-rapport"
"0808-5390";;"379220";"NIBR prosjektrapport";"NIBR prosjektrapport"
"0801-1702";"0809-6929";"379221";"NIBR Working Paper";"NIBR Working Paper"
"1500-9939";;"379224";"NIBRs pluss-serie";"NIBRs pluss-serie"
"0807-3635";;"379226";"NIFU rapport";"NIFU rapport"
"0808-4572";;"379227";"NIFU skriftserie";"NIFU skriftserie"
"0807-5948";;"379230";"NIKU Temahefte";"NIKU Temahefte"
"0805-4460";;"379271";"Nordlandsforskning rapport";"Nordlandsforskning rapport"
"0803-0596";;"379380";"Occasional paper";"Occasional paper"
"0333-2675";;"379421";"Oslo Occasional Papers in Social Anthropology";"Oslo Occasional Papers in Social Anthropology"
"0804-4511";;"379446";"Policy note";"Policy note"
"0806-8992";"0806-900X";"379484";"ProSus rapport";"ProSus rapport"
"0802-2992";"1894-0846";"379575";"Rapport";"Rapport"
"0802-8788";;"379579";"Rapport - Senter for bygdeforskning";"Rapport - Senter for bygdeforskning"
"0803-0030";;"379580";"Rapport";"Rapport"
"0803-2858";;"379595";"Rapport fra skogforskningen";"Rapport fra skogforskningen"
"0804-6034";;"379618";"Rapportserie";"Rapportserie"
"1501-3065";;"379620";"Rapportserie";"Rapportserie"
"0803-8848";;"379625";"Rapportserie i naturgeografi";"Rapportserie i naturgeografi"
"0333-029X";;"379632";"Relieff";"Relieff"
"0332-9879";;"379677";"Research Report";"Research Report"
"0809-0440";;"379750";"Serie av doktorgradsavhandlinger";"Serie av doktorgradsavhandlinger"
"0805-0589";;"379822";"Skriftserie";"Skriftserie"
"0801-6259";;"379828";"Skriftserie";"Skriftserie"
"0802-8982";;"379829";"Skriftserie";"Skriftserie"
"0803-4036";;"379871";"SNF-rapport";"SNF-rapport"
"0801-3845";"1890-3479";"379882";"Sosiale og økonomiske studier";"Sosiale og økonomiske studier"
"0804-8185";;"379912";"STEP rapport";"STEP rapport"
"0806-475X";;"379940";"SUM Dissertations & Thesis";"SUM Dissertations & Thesis"
"0803-1223";;"379941";"SUM occasional paper";"SUM occasional paper"
"0804-7391";;"379942";"SUM Working paper";"SUM Working paper"
"0806-4741";;"379944";"SUM-report";"SUM-report"
"0802-0175";;"379993";"TØI rapport";"TØI rapport"
"0804-4740";;"380015";"Tverrfaglige seminarer i Tønsberg: Rapport";"Tverrfaglige seminarer i Tønsberg: Rapport"
"0333-3671";"1891-4314";"380051";"Rapport – Institutt for samfunnsforskning";"Rapport – Institutt for samfunnsforskning"
"0356-8490";;"380063";"Volgalaiskielet muutoksessa";"Volgalaiskielet muutoksessa"
"0804-2810";;"380095";"Working paper";"Working paper"
"0805-5130";"1890-7768";"380098";"Working paper";"Working paper"
"1500-8592";;"380286";"Kulturstudier";"Kulturstudier"
"0804-3760";;"380409";"KULTs skriftserie";"KULTs skriftserie"
"1065-3058";"1573-3394";"410773";"Health Care Analysis";"Health Care Analysis"
"0010-3624";"1532-2416";"410778";"Communications in Soil Science and Plant Analysis";"Communications in Soil Science and Plant Analysis"
"1386-7423";"1572-8633";"410791";"Medicine, Health care and Philosophy";"Medicine, Health care and Philosophy"
"0002-9602";"1537-5390";"410892";"American Journal of Sociology";"American Journal of Sociology"
"0029-2052";"1504-2987";"410920";"Norsk pedagogisk tidsskrift";"Norsk pedagogisk tidsskrift"
"0140-1963";"1095-922X";"410977";"Journal of Arid Environments";"Journal of Arid Environments"
"1567-9764";"1573-1553";"410990";"International Environmental Agreements: Politics, Law and Economics";"International Environmental Agreements: Politics, Law and Economics"
"0044-4103";;"411014";"Zentralblatt für Didaktik der Mathematik (ZDM)";"Zentralblatt für Didaktik der Mathematik (ZDM)"
"1382-4147";"1573-7322";"411178";"Heart Failure Reviews";"Heart Failure Reviews"
"1502-4008";"1890-7016";"411210";"Norsk tidsskrift for migrasjonsforskning";"Norwegian journal of migration research"
"1464-9357";"1470-000X";"411238";"Planning Theory & Practice";"Planning Theory & Practice"
"0271-3683";"1460-2202";"411261";"Current Eye Research";"Current Eye Research"
"1092-6429";"1557-9034";"411283";"Journal of Laparoendoscopic and Advanced Surgical Techniques";"Journal of Laparoendoscopic and Advanced Surgical Techniques"
"1053-1807";"1522-2586";"411286";"Journal of Magnetic Resonance Imaging";"Journal of Magnetic Resonance Imaging"
"1522-8002";"1476-5586";"411324";"Neoplasia";"Neoplasia"
"0967-0645";"1879-0100";"411424";"Deep-Sea Research Part II: Topical Studies in Oceanography";"Deep-Sea Research Part II: Topical Studies in Oceanography"
"0923-9820";"1572-9729";"411454";"Biodegradation";"Biodegradation"
"1018-4619";"1610-2304";"411469";"Fresenius Environmental Bulletin";"Fresenius Environmental Bulletin"
"1366-638X";"1572-9753";"411524";"Journal of Insect Conservation";"Journal of Insect Conservation"
"0013-8703";"1570-7458";"411527";"Entomologia Experimentalis et Applicata";"Entomologia Experimentalis et Applicata"
"1023-3830";"1420-908X";"411550";"Inflammation Research";"Inflammation Research"
"0039-9140";"1873-3573";"411585";"Talanta: The International Journal of Pure and Applied Analytical Chemistry";"Talanta: The International Journal of Pure and Applied Analytical Chemistry"
"1017-0839";"2223-8964";"411621";"Terrestrial, Atmospheric and Oceanic Science";"Terrestrial, Atmospheric and Oceanic Science"
"1386-2588";"1573-5125";"411635";"Aquatic Ecology";"Aquatic Ecology"
"1463-5003";"1463-5011";"411648";"Ocean Modelling";"Ocean Modelling"
"0304-3770";"1879-1522";"411669";"Aquatic Botany";"Aquatic Botany"
"0883-8305";"1944-9186";"411683";"Paleoceanography";"Paleoceanography"
"0093-3651";;"411845";"Sea Technology";"Sea Technology"
"0911-6044";"1873-8052";"411882";"Journal of Neurolinguistics";"Journal of Neurolinguistics"
"0017-8748";"1526-4610";"411894";"Headache";"Headache"
"1502-2250";"1502-2269";"411955";"Scandinavian Journal of Hospitality and Tourism";"Scandinavian Journal of Hospitality and Tourism"
"0047-2875";"1552-6763";"411958";"Journal of Travel Research";"Journal of Travel Research"
"1098-304X";"1943-4146";"411961";"Tourism, Culture & Communication";"Tourism, Culture & Communication"
"1522-8959";"1522-9114";"436135";"Public Services Quarterly";"Public Services Quarterly"
"1087-8378";"1099-1786";"436136";"Quality Assurance Journal";"Quality Assurance Journal"
"0393-0203";;"436137";"Rassegna - Edizione Bilingue";"Rassegna - Edizione Bilingue"
"0956-5698";"1758-7689";"436138";"Records Management Journal";"Records Management Journal"
"0090-7324";;"436139";"Reference Services Review";"Reference Services Review"
"1051-5658";"1520-6831";"436140";"Remediation Journal";"Remediation Journal"
"1134-282X";"1887-1364";"436141";"Revista de Calidad Asistencial";"Revista de Calidad Asistencial"
"0213-4748";"1579-3680";"436142";"Revista de Psicología Social";"Revista de Psicología Social"
"0211-139X";"1578-1747";"436143";"Revista Española de Geriatría y Gerontología";"Revista Española de Geriatría y Gerontología"
"0304-4815";"1578-133X";"436144";"Revista española de reumatología";"Revista española de reumatología"
"0761-8417";"1776-2561";"436145";"Revue de Pneumologie Clinique";"Revue de Pneumologie Clinique"
"0035-1768";"1776-257X";"436146";"Revue de Stomatologie et de Chirurgie Maxillo-Faciale";"Revue de Stomatologie et de Chirurgie Maxillo-Faciale"
"0338-9898";"1768-3106";"436147";"Revue française des laboratoires";"Revue française des laboratoires"
"0936-6652";;"436148";"RöFo : Fortschritte auf dem Gebiete der Röntgenstrahlen und der neuen bildgebenden Verfahren";"RöFo : Fortschritte auf dem Gebiete der Röntgenstrahlen und der neuen bildgebenden Verfahren"
"1533-2969";"1533-2977";"436149";"Services Marketing Quarterly";"Services Marketing Quarterly"
"1237-9964";;"436150";"Settentrione : nuova serie";"Settentrione : nuova serie"
"1615-4053";"1615-4061";"436151";"Signal Transduction";"Signal Transduction"
"1026-213X";;"436152";"Skáldskaparmál";"Skáldskaparmál"
"1077-4866";"1099-1670";"436153";"Software Process: Improvement and Practice (SPIP)";"Software Process: Improvement and Practice (SPIP)"
"0342-0477";"1439-1260";"436154";"Sprache-Stimme-Gehör : Zeitschrift für Kommunikationsstörungen";"Sprache-Stimme-Gehör : Zeitschrift für Kommunikationsstörungen"
"1086-1718";"1099-1697";"436155";"Strategic Change";"Strategic Change"
"0263-080X";"1758-6844";"436156";"Structural Survey";"Structural Survey"
"0892-8649";"1537-2650";"436157";"Tax Policy and the Economy";"Tax Policy and the Economy"
"1536-0644";"1538-1943";"436158";"Techniques in Foot & Ankle Surgery";"Techniques in Foot & Ankle Surgery"
"1089-3393";"1531-6572";"436159";"Techniques in Hand & Upper Extremity Surgery";"Techniques in Hand & Upper Extremity Surgery"
"1536-0636";"1538-1935";"436160";"Techniques in Knee Surgery";"Techniques in Knee Surgery"
"1542-1929";"1542-1937";"436161";"Techniques in Ophthalmology";"Techniques in Ophthalmology"
"0885-9698";;"436162";"Techniques in Orthopaedics";"Techniques in Orthopaedics"
"1523-9896";"1539-591X";"436163";"Techniques in Shoulder & Elbow Surgery";"Techniques in Shoulder & Elbow Surgery"
"1359-9372";"1468-4500";"436164";"Technology, Law and Insurance";"Technology, Law and Insurance"
"1101-6957";;"436165";"Text series (Nordic Association for Canadian Studies)";"Text series (Nordic Association for Canadian Studies)"
"1537-260X";"1944-9585";"436166";"Academy of Management Learning & Education";"Academy of Management Learning & Education"
"1065-8025";"1943-2747";"436167";"The ADHD Report";"The ADHD Report"
"0883-5691";"1550-5146";"436169";"Topics in Clinical Nutrition";"Topics in Clinical Nutrition"
"0164-2340";"1550-2449";"436170";"Topics in Emergency Medicine";"Topics in Emergency Medicine"
"0899-3459";"1536-1004";"436171";"Topics in Magnetic Resonance Imaging (TMRI)";"Topics in Magnetic Resonance Imaging (TMRI)"
"0929-9645";"1568-5705";"436172";"Transport Logistics";"Transport Logistics"
"0211-0784";"2013-9136";"436173";"Treballs de Sociolingüística Catalana";"Treballs de Sociolingüística Catalana"
"1357-5317";"1468-4519";"436174";"Urban Design International";"Urban Design International"
"1435-3067";"1439-1643";"436175";"Viszeralchirurgie";"Viszeralchirurgie"
"0964-9425";"1758-7182";"436176";"Women in Management Review";"Women in Management Review"
"1740-3715";"1740-3723";"436177";"Work Based Learning in Primary Care";"Work Based Learning in Primary Care"
"0940-5569";"1875-9246";"436178";"Zeitschrift für Medizinische Psychologie";"Zeitschrift für Medizinische Psychologie"
"1615-2921";"1615-293X";"436179";"Zeitschrift für Palliativmedizin";"Zeitschrift für Palliativmedizin"
"0940-9599";"1438-9770";"436180";"Zentralblatt für Kinderchirurgie";"Zentralblatt für Kinderchirurgie"
"0801-6399";;"436181";"Rangifer Special Issue";"Rangifer Special Issue"
"0169-796X";"1745-2546";"436182";"Journal of Developing Societies";"Journal of Developing Societies"
"0260-9541";"1755-6260";"436183";"Archives of Natural History";"Archives of Natural History"
"1570-8683";"1570-8691";"436186";"Journal of Applied Logic";"Journal of Applied Logic"
"0885-064X";"1090-2708";"436188";"Journal of Complexity";"Journal of Complexity"
"0899-5362";;"436242";"Journal of African Earth Sciences";"Journal of African Earth Sciences"
"1470-2266";"1471-0374";"436321";"Global Networks. A journal of transnational affairs";"Global Networks. A journal of transnational affairs"
"1361-7427";"1745-8145";"436343";"Slavonica";"Slavonica"
"1042-9247";"2377-0643";"436383";"Engineering Management Journal (EMJ)";"Engineering Management Journal (EMJ)"
"1649-5195";"2044-4559";"436384";"Journal of Business Ethics Education";"Journal of Business Ethics Education"
"0306-3070";"1759-6106";"436385";"Journal of General Management (JGM)";"Journal of General Management (JGM)"
"1069-6679";"1944-7175";"436386";"Journal of Marketing Theory and Practice";"Journal of Marketing Theory and Practice"
"0030-8129";"1938-1530";"436387";"Publications of the Modern Language Association of America";"Publications of the Modern Language Association of America"
"0005-8114";;"436388";"Beiträge zur Namenforschung";"Beiträge zur Namenforschung"
"0942-4555";;"436389";"Alvíssmál";"Alvíssmál"
"0925-854X";"1572-865X";"436391";"Natural Language Semantics";"Natural Language Semantics"
"1820-4503";;"436393";"Transactions on Internet Research";"Transactions on Internet Research"
"1820-4511";;"436394";"Transactions on Advanced Research";"Transactions on Advanced Research"
"0305-9219";;"436397";"Saga-book/Viking Society for Northern Research";"Saga-book/Viking Society for Northern Research"
"1059-9576";;"436401";"Sewanee Theological Review";"Sewanee Theological Review"
"1028-8813";;"436402";"Journal of Eastern Caribbean Studies";"Journal of Eastern Caribbean Studies"
"0042-2592";;"436404";"Vann";"Vann"
"1235-1946";;"436405";"Studia Fennica, Folkloristica";"Studia Fennica, Folkloristica"
"1543-5938";"1545-2050";"436408";"Annual Review Environment and Resources";"Annual Review Environment and Resources"
"0013-0400";;"436409";"Economic Trends";"Economic Trends"
"1542-7528";"1542-7536";"436410";"Journal of Crop Improvement";"Journal of Crop Improvement"
"0013-8274";"2161-8895";"436411";"English Journal";"English Journal"
"1460-1060";"1758-7115";"436412";"European Journal of Innovation Management";"European Journal of Innovation Management"
